style,description,pdf_page
UGQ03,"S, M, L, XL Performance 3.0 Quarter",3
UGR02,"S, M, L, XL Performance 2.0 Roll",3
UQT,"M, L, XL TCK G.O.A.T Blister Resister Quarter",3
URT,"M, L, XL TCK G.O.A.T Blister Resister Low-cut",3
WT3187,"S, M, L, XL Tour Wool Low-Cut",3
YSST1,S Sanitary Cotton Liner Over-Calf,3
CATALOG,,3
BLRSC,"S, M, L, XL Crossover Short Crew",3
TURBC,"S, M, L, XL Turbo Crew",3
ENDO1,"S, M, L, XL Endzone Over-Calf",3
TCK,Closeout Section Pricing,3
