style,description,pdf_page
939,Bachelor Pinch Front w/ Rope,4
942,Sahalie 6 Panel Water Repellent,4
1000TSS,Rise Short Sleeve Tee/ Adult,5
1000TSSY,Rise Short Sleeve Tee/ Youth,5
1000TLS,Rise Long Sleeve Tee/ Adult,5
1000TLSY,Rise Long Sleeve Tee/ Youth,5
A7110LSH,Clutch Long Sleeve Hoodie/ Adult,5
A7110LS,Clutch Long Sleeve Tee/ Adult,5
A7110SS,Clutch Short Sleeve Tee/ Adult,5
2000TLS,Charge Long Sleeve Hoodie/ Adult,5
2000TLSY,Charge Long Sleeve Hoodie/ Youth,5
A7200SSH,Charge Short Sleeve Hoodie/ Adult,5
5000B,Charge Performance Jogger Pant/ Adult,5
4000T,Vertex 1/4 Zip Pullover/ Adult,5
4005T,Barrage Full Zip Jacket/ Adult,5
4010T,Barrage 1/4 Zip Wind Shirt/ Adult,5
4010TY,Barrage 1/4 Zip Wind Shirt/ Youth,5
6000B,Barrage Training Short/ Adult,5
7112,Select 2-Button Baseball Jersey/ Adult,5
7112Y,Select 2-Button Baseball Jersey/ Youth,5
PTS8120,PTS Full Length Tailored Baseball Pant/ Adult,5
PTS8120Y,PTS Full Length Tailored Baseball Pant/ Youth,5
PTS8120P,PTS Full Length Tailored Baseball Pant w/ Piping/ Adult,5
PTS8120PY,PTS Full Length Tailored Baseball Pant w/ Piping/ Youth,5
PTS8022,PTS Knicker Baseball Pant/ Adult,5
PTS8022Y,PTS Knicker Baseball Pant/ Youth,5
PTS8022P,PTS Knicker Baseball Pant w/Piping/ Adult,5
PTS8022PY,PTS Knicker Baseball Pant w/Piping/ Youth,5
7112W,Select 2-Button Softball Jersey/ Adult,5
7112WY,Select 2-Button Softball Jersey/ Youth,5
PTS8023W,PTS Softball Pant/ Adult,5
PTS8023WY,PTS Softball Pant/ Youth,5
PTS500K,PTS Sentinel Field Sock/ Over Knee,5
PTS1BLT,PTS Signature Belt,5
PTS1BLTY,PTS Signature Belt/ Youth,5
PTS8011CU,PTS V-Neck Baseball Jersey/ Adult Custom Ultra,6
PTS8011YCU,PTS V-Neck Baseball Jersey/ Youth Custom Ultra,6
PTS8012CU,PTS 2-Button Baseball Jersey/ Adult Custom Ultra,6
PTS8012YCU,PTS 2-Button Baseball Jersey/ Youth Custom Ultra,6
PTS8013CU,PTS Full Button Baseball Jersey/ Adult Custom Ultra,6
PTS8013YCU,PTS Full Button Baseball Jersey/ Youth Custom Ultra,6
