retire_id,name,canonical_id,canonical_name,distance,items_to_repoint,canonical_items,canonical_in_ss_feed,confidence
1258,Hegr,4133,BLGR,2,0,6,no,review
1258,Hegr,2042,Dgr,2,0,8,no,review
1258,Hegr,3244,Flgr,2,0,0,no,review
1258,Hegr,1144,He,2,0,0,no,review
1258,Hegr,1279,Htgr,1,0,5,no,review
1258,Hegr,4256,LTHEGR,2,0,1,no,review
1258,Hegr,1110,Negr,1,0,1,no,review
1258,Hegr,2209,Shgr,2,0,1,no,review
1258,Hegr,3343,Smgr,2,0,1,no,review
1013,Icbl,2983,Atbl,2,0,3,no,review
1013,Icbl,3387,Cblu,2,0,2,no,review
1013,Icbl,2091,Habl,2,0,3,no,review
2408,Iv,2607,Db,2,0,4,no,review
2408,Iv,3028,Ec,2,0,1,no,review
2408,Iv,2339,Ga,2,0,1,no,review
2408,Iv,3403,Gc,2,0,9,no,review
2408,Iv,1144,He,2,0,0,no,review
2408,Iv,1146,Ig,1,0,1,no,review
2408,Iv,1034,In,1,0,3,no,review
2408,Iv,489,Ke,2,0,1,no,review
2408,Iv,1290,Kh,2,0,4,no,review
2408,Iv,2155,Mr,2,0,1,no,review
2408,Iv,3435,Oh,2,0,1,no,review
2408,Iv,3772,Oy,2,0,8,no,review
2408,Iv,4303,RD,2,0,1,no,review
2408,Iv,3124,Vh,2,0,2,no,review
2408,Iv,4365,WH,2,0,1,no,review
1033,Lgr,4133,BLGR,1,0,6,no,review
1033,Lgr,828,Dgh,2,0,0,no,review
1033,Lgr,2042,Dgr,1,0,8,no,review
1033,Lgr,3244,Flgr,1,0,0,no,review
1033,Lgr,2339,Ga,2,0,1,no,review
1033,Lgr,3403,Gc,2,0,9,no,review
1033,Lgr,1258,Hegr,2,0,0,no,review
1033,Lgr,1279,Htgr,2,0,5,no,review
1033,Lgr,1146,Ig,2,0,1,no,review
1033,Lgr,4245,LAUGR,2,0,2,no,review
1033,Lgr,2843,Lgt,1,0,2,no,review
1033,Lgr,5974,Ltb,2,0,1,no,review
1033,Lgr,2145,Mgrn,2,0,10,no,review
1033,Lgr,2155,Mr,2,0,1,no,review
1033,Lgr,1110,Negr,2,0,1,no,review
1033,Lgr,5991,Ngrn,2,0,2,no,review
1033,Lgr,2885,SGH,2,0,3,no,review
1033,Lgr,4331,SLTGR,2,0,4,no,review
1033,Lgr,2692,Sgg,2,0,1,no,review
1033,Lgr,2209,Shgr,2,0,1,no,review
1033,Lgr,3343,Smgr,2,0,1,no,review
6436,Ltgo,1279,Htgr,2,0,5,no,review
6436,Ltgo,1033,Lgr,2,0,0,no,review
6436,Ltgo,2843,Lgt,2,0,2,no,review
6436,Ltgo,5974,Ltb,2,0,1,no,review
6436,Ltgo,4331,SLTGR,2,0,4,no,review
7493,Marina,1848,Marine,1,0,2,no,review
6440,Maroon/B/White,662,Maroon/White,2,0,21,no,review
2420,Mb,3,Crb,2,0,1,no,review
2420,Mb,2607,Db,1,0,4,no,review
2420,Mb,3028,Ec,2,0,1,no,review
2420,Mb,2339,Ga,2,0,1,no,review
2420,Mb,3403,Gc,2,0,9,no,review
2420,Mb,2093,Hbk,2,0,1,no,review
2420,Mb,1144,He,2,0,0,no,review
2420,Mb,2371,Hlb,2,0,2,no,review
2420,Mb,1146,Ig,2,0,1,no,review
2420,Mb,1034,In,2,0,3,no,review
2420,Mb,2408,Iv,2,0,0,no,review
2420,Mb,489,Ke,2,0,1,no,review
2420,Mb,1290,Kh,2,0,4,no,review
2420,Mb,5974,Ltb,2,0,1,no,review
2420,Mb,2646,Mag,2,0,2,no,review
2420,Mb,2421,Mbk,1,0,15,no,review
2420,Mb,3755,Mna,2,0,6,no,review
2420,Mb,2155,Mr,1,0,1,no,review
2420,Mb,3435,Oh,2,0,1,no,review
2420,Mb,3772,Oy,2,0,8,no,review
2420,Mb,4303,RD,2,0,1,no,review
2420,Mb,4040,Rwb,2,0,1,no,review
2420,Mb,3124,Vh,2,0,2,no,review
2420,Mb,4365,WH,2,0,1,no,review
988,Mg,2607,Db,2,0,4,no,review
988,Mg,828,Dgh,2,0,0,no,review
988,Mg,2042,Dgr,2,0,8,no,review
988,Mg,3023,Dsg,2,0,1,no,review
988,Mg,3028,Ec,2,0,1,no,review
988,Mg,2339,Ga,2,0,1,no,review
988,Mg,3403,Gc,2,0,9,no,review
988,Mg,1144,He,2,0,0,no,review
988,Mg,1146,Ig,1,0,1,no,review
988,Mg,1034,In,2,0,3,no,review
988,Mg,2408,Iv,2,0,0,no,review
988,Mg,489,Ke,2,0,1,no,review
988,Mg,1290,Kh,2,0,4,no,review
988,Mg,1033,Lgr,2,0,0,no,review
988,Mg,2843,Lgt,2,0,2,no,review
988,Mg,2646,Mag,1,0,2,no,review
988,Mg,2420,Mb,1,0,0,no,review
988,Mg,2421,Mbk,2,0,15,no,review
988,Mg,2651,Mgnt,2,0,6,no,review
988,Mg,2145,Mgrn,2,0,10,no,review
988,Mg,3755,Mna,2,0,6,no,review
988,Mg,2155,Mr,1,0,1,no,review
988,Mg,3435,Oh,2,0,1,no,review
988,Mg,3772,Oy,2,0,8,no,review
988,Mg,4303,RD,2,0,1,no,review
988,Mg,2885,SGH,2,0,3,no,review
988,Mg,2692,Sgg,2,0,1,no,review
988,Mg,3343,Smgr,2,0,1,no,review
988,Mg,3124,Vh,2,0,2,no,review
988,Mg,4365,WH,2,0,1,no,review
805,Mgr,4133,BLGR,2,0,6,no,review
805,Mgr,828,Dgh,2,0,0,no,review
805,Mgr,2042,Dgr,1,0,8,no,review
805,Mgr,3244,Flgr,2,0,0,no,review
805,Mgr,2339,Ga,2,0,1,no,review
805,Mgr,3403,Gc,2,0,9,no,review
805,Mgr,1258,Hegr,2,0,0,no,review
805,Mgr,1279,Htgr,2,0,5,no,review
805,Mgr,1146,Ig,2,0,1,no,review
805,Mgr,1033,Lgr,1,0,0,no,review
805,Mgr,2843,Lgt,2,0,2,no,review
805,Mgr,2646,Mag,2,0,2,no,review
805,Mgr,2420,Mb,2,0,0,no,review
805,Mgr,2421,Mbk,2,0,15,no,review
805,Mgr,4024,Mdgry,2,0,3,no,review
805,Mgr,988,Mg,1,0,0,no,review
805,Mgr,2651,Mgnt,2,0,6,no,review
805,Mgr,2145,Mgrn,1,0,10,no,review
805,Mgr,3755,Mna,2,0,6,no,review
805,Mgr,2155,Mr,1,0,1,no,review
805,Mgr,1110,Negr,2,0,1,no,review
805,Mgr,5991,Ngrn,2,0,2,no,review
805,Mgr,2885,SGH,2,0,3,no,review
805,Mgr,2692,Sgg,2,0,1,no,review
805,Mgr,2209,Shgr,2,0,1,no,review
805,Mgr,3343,Smgr,1,0,1,no,review
4031,Mod Gray,721,M. Gray,2,0,17,no,review
4031,Mod Gray,4030,Mod Grey,1,0,11,no,review
4032,Mod Grey,3015,Con Grey,2,0,4,no,review
4032,Mod Grey,4031,Mod Gray,1,0,0,no,review
4032,Mod Grey,4268,Mod Gray,1,0,85,no,review
952,Mwh,498,Ash,2,0,62,yes,review
952,Mwh,828,Dgh,2,0,0,no,review
952,Mwh,3404,Gch,2,0,5,no,review
952,Mwh,505,Gph,2,0,10,no,review
952,Mwh,1290,Kh,2,0,4,no,review
952,Mwh,2646,Mag,2,0,2,no,review
952,Mwh,2420,Mb,2,0,0,no,review
952,Mwh,2421,Mbk,2,0,15,no,review
952,Mwh,988,Mg,2,0,0,no,review
952,Mwh,805,Mgr,2,0,0,no,review
952,Mwh,3755,Mna,2,0,6,no,review
952,Mwh,2155,Mr,2,0,1,no,review
952,Mwh,3435,Oh,2,0,1,no,review
952,Mwh,4040,Rwb,2,0,1,no,review
952,Mwh,2885,SGH,2,0,3,no,review
952,Mwh,3455,Trh,2,0,3,no,review
952,Mwh,3124,Vh,2,0,2,no,review
952,Mwh,4365,WH,1,0,1,no,review
7595,Navy Blue,7531,Baby Blue,2,0,0,yes,review
813,Navy/Red,957,Navy/Grey,2,0,0,no,review
7518,Oats,2169,Natb,2,0,1,no,review
6213,Orc,3,Crb,2,0,1,no,review
6213,Orc,3028,Ec,2,0,1,no,review
6213,Orc,3403,Gc,2,0,9,no,review
6213,Orc,2155,Mr,2,0,1,no,review
6213,Orc,4291,ORCH,1,0,0,no,review
6213,Orc,3435,Oh,2,0,1,no,review
6213,Orc,3772,Oy,2,0,8,no,review
6213,Orc,4303,RD,2,0,1,no,review
6213,Orc,3455,Trh,2,0,3,no,review
4291,ORCH,546,Birch,2,0,2,yes,review
4291,ORCH,3246,Frpch,2,0,1,no,review
4291,ORCH,3404,Gch,2,0,5,no,review
4291,ORCH,526,Grth,2,0,2,no,review
4291,ORCH,3435,Oh,2,0,1,no,review
4291,ORCH,3771,Orchid,2,0,30,yes,review
4291,ORCH,4297,PARCH,2,0,4,no,review
4291,ORCH,3455,Trh,2,0,3,no,review
1322,Pep,3028,Ec,2,0,1,no,review
1322,Pep,1144,He,2,0,0,no,review
1322,Pep,489,Ke,2,0,1,no,review
1322,Pep,509,Red,2,0,598,yes,review
1322,Pep,3335,Sap,2,0,6,no,review
989,Pine,490,Lime,2,0,36,yes,review
1331,Red/Black,887,Grey/Black,2,0,0,no,review
1331,Red/Black,637,Grey/Black,2,0,0,no,review
921,Red/White,796,Grey/White,2,0,0,no,review
624,Red/White,796,Grey/White,2,0,0,no,review
921,Red/White,639,Grey/White,2,0,1,no,review
624,Red/White,639,Grey/White,2,0,1,no,review
1342,Roy,2010,Bror,2,0,0,no,review
1342,Roy,959,Grey,2,0,0,yes,review
1342,Roy,523,Grey,2,0,0,yes,review
1342,Roy,6425,Iron,2,0,15,no,review
1342,Roy,3435,Oh,2,0,1,no,review
1342,Roy,3772,Oy,1,0,8,no,review
1342,Roy,4303,RD,2,0,1,no,review
1342,Roy,4318,RUBY,2,0,2,no,review
1342,Roy,509,Red,2,0,598,yes,review
1342,Roy,565,Royal,2,0,597,yes,review
1342,Roy,4040,Rwb,2,0,1,no,review
3328,Sa/Gr,4245,LAUGR,2,0,2,no,review
3328,Sa/Gr,4331,SLTGR,2,0,4,no,review
3328,Sa/Gr,2207,Safgr,1,0,2,no,review
3328,Sa/Gr,4320,Sage,2,0,15,yes,review
3328,Sa/Gr,2209,Shgr,2,0,1,no,review
3328,Sa/Gr,3343,Smgr,2,0,1,no,review
3328,Sa/Gr,5762,Sy/Gp,2,0,2,no,review
810,Sand,4320,Sage,2,0,15,yes,review
810,Sand,1046,Tan,2,0,10,yes,review
6241,Sfgn,2447,Pfgf,2,0,1,no,review
6241,Sfgn,2885,SGH,2,0,3,no,review
6241,Sfgn,2207,Safgr,2,0,2,no,review
6241,Sfgn,4320,Sage,2,0,15,yes,review
6241,Sfgn,2692,Sgg,2,0,1,no,review
6241,Sfgn,2209,Shgr,2,0,1,no,review
6241,Sfgn,3343,Smgr,2,0,1,no,review
1073,Spgr,4133,BLGR,2,0,6,no,review
1073,Spgr,4144,BSBGR,2,0,5,no,review
1073,Spgr,2042,Dgr,2,0,8,no,review
1073,Spgr,3244,Flgr,2,0,0,no,review
1073,Spgr,2635,Gsygr,2,0,1,no,review
1073,Spgr,1258,Hegr,2,0,0,no,review
1073,Spgr,1279,Htgr,2,0,5,no,review
1073,Spgr,1033,Lgr,2,0,0,no,review
1073,Spgr,805,Mgr,2,0,0,no,review
1073,Spgr,1110,Negr,2,0,1,no,review
1073,Spgr,2885,SGH,2,0,3,no,review
1073,Spgr,4331,SLTGR,2,0,4,no,review
1073,Spgr,3328,Sa/Gr,2,0,0,no,review
1073,Spgr,2207,Safgr,2,0,2,no,review
1073,Spgr,4320,Sage,2,0,15,yes,review
1073,Spgr,6241,Sfgn,2,0,0,no,review
1073,Spgr,2692,Sgg,2,0,1,no,review
1073,Spgr,2209,Shgr,1,0,1,no,review
1073,Spgr,3343,Smgr,1,0,1,no,review
5755,Sth,498,Ash,2,0,62,yes,review
5755,Sth,828,Dgh,2,0,0,no,review
5755,Sth,3404,Gch,2,0,5,no,review
5755,Sth,505,Gph,2,0,10,no,review
5755,Sth,526,Grth,2,0,2,no,review
5755,Sth,1290,Kh,2,0,4,no,review
5755,Sth,5974,Ltb,2,0,1,no,review
5755,Sth,952,Mwh,2,0,0,no,review
5755,Sth,3435,Oh,2,0,1,no,review
5755,Sth,2885,SGH,1,0,3,no,review
5755,Sth,3335,Sap,2,0,6,no,review
5755,Sth,2692,Sgg,2,0,1,no,review
5755,Sth,3455,Trh,2,0,3,no,review
5755,Sth,3124,Vh,2,0,2,no,review
5755,Sth,4365,WH,2,0,1,no,review
7478,Taxi,3212,Capi,2,0,0,no,review
7478,Taxi,1046,Tan,2,0,10,yes,review
750,Teal,1046,Tan,2,0,10,yes,review
3575,Vg/Bk,2849,Mb/Bk,2,0,2,no,review
