retire_id,name,canonical_id,canonical_name,distance,items_to_repoint,canonical_items,canonical_in_ss_feed,confidence
526,Grth,3455,Trh,2,2,3,no,review
2371,Hlb,2607,Db,2,2,4,no,review
2371,Hlb,2091,Habl,2,2,3,no,review
2371,Hlb,2096,Hdt,2,2,3,no,review
1031,Htna,3240,Dpna,2,2,4,no,review
1031,Htna,2104,Hg/Na,2,2,2,no,review
1031,Htna,1279,Htgr,2,2,5,no,review
1031,Htna,3755,Mna,2,2,6,no,review
1031,Htna,4029,Mnna,2,2,5,no,review
3054,Ig/Wh,3506,Do/Wh,2,2,8,no,review
2843,Lgt,4133,BLGR,2,2,6,no,review
2843,Lgt,2042,Dgr,2,2,8,no,review
2843,Lgt,3403,Gc,2,2,9,no,review
2843,Lgt,2096,Hdt,2,2,3,no,review
2843,Lgt,2651,Mgnt,2,2,6,no,review
2843,Lgt,2885,SGH,2,2,3,no,review
2646,Mag,2421,Mbk,2,2,15,no,review
2646,Mag,3755,Mna,2,2,6,no,review
2646,Mag,4320,Sage,2,2,15,yes,review
2646,Mag,3335,Sap,2,2,6,no,review
2646,Mag,1046,Tan,2,2,10,yes,review
4259,MARED,509,Red,2,2,598,yes,review
2647,Marsh,498,Ash,2,2,62,yes,review
2647,Marsh,4259,MARED,2,2,2,no,review
2647,Marsh,4297,PARCH,2,2,4,no,review
2849,Mb/Bk,2421,Mbk,2,2,15,no,review
1109,Mint,1034,In,2,2,3,no,review
1109,Mint,2651,Mgnt,1,2,6,no,review
1109,Mint,3755,Mna,2,2,6,no,review
1109,Mint,4029,Mnna,2,2,5,no,review
1109,Mint,989,Pine,2,2,0,yes,review
1109,Mint,493,Pink,2,2,14,no,review
2656,Nahe,515,Caht,2,2,2,no,review
2656,Nahe,722,Navy,2,2,644,yes,review
2656,Nahe,531,Navy,2,2,103,yes,review
2656,Nahe,4320,Sage,2,2,15,yes,review
5991,Ngrn,2042,Dgr,2,2,8,no,review
5991,Ngrn,2145,Mgrn,1,2,10,no,review
2444,Odgrn,2042,Dgr,2,2,8,no,review
2444,Odgrn,4024,Mdgry,2,2,3,no,review
2444,Odgrn,2145,Mgrn,2,2,10,no,review
2444,Odgrn,5991,Ngrn,2,2,2,no,review
1869,Red/Royal,638,Grey/Royal,2,2,11,no,review
4313,RO/ST,2312,Coast,2,2,2,no,review
2207,Safgr,4245,LAUGR,2,2,2,no,review
2207,Safgr,4331,SLTGR,2,2,4,no,review
2207,Safgr,4320,Sage,2,2,15,yes,review
539,Saye,2656,Nahe,2,2,2,no,review
539,Saye,810,Sand,2,2,0,yes,review
539,Saye,3335,Sap,2,2,6,no,review
4902,Si/Navy,6216,Ox/Navy,2,2,3,no,review
3124,Vh,498,Ash,2,2,62,yes,review
3124,Vh,2607,Db,2,2,4,no,review
3124,Vh,3403,Gc,2,2,9,no,review
3124,Vh,3404,Gch,2,2,5,no,review
3124,Vh,505,Gph,2,2,10,no,review
3124,Vh,1034,In,2,2,3,no,review
3124,Vh,1290,Kh,1,2,4,no,review
3124,Vh,3772,Oy,2,2,8,no,review
3124,Vh,2885,SGH,2,2,3,no,review
3124,Vh,3455,Trh,2,2,3,no,review
6264,White/Urd,629,White/Red,2,2,19,no,review
2788,Bkhe,4130,BKSH,2,1,1,no,review
2788,Bkhe,1076,Bkfo,2,1,2,no,review
2788,Bkhe,2792,Bktp,2,1,2,no,review
2788,Bkhe,1290,Kh,2,1,4,no,review
2788,Bkhe,2656,Nahe,2,1,2,no,review
1155,Bkma,4126,BK/VA,2,1,2,no,review
1155,Bkma,4130,BKSH,2,1,1,no,review
1155,Bkma,1076,Bkfo,2,1,2,no,review
1155,Bkma,2788,Bkhe,2,1,1,no,review
1155,Bkma,2792,Bktp,2,1,2,no,review
4130,BKSH,498,Ash,2,1,62,yes,review
4130,BKSH,1076,Bkfo,2,1,2,no,review
4130,BKSH,2792,Bktp,2,1,2,no,review
4130,BKSH,7460,Blush,2,1,1,yes,review
4130,BKSH,1290,Kh,2,1,4,no,review
4508,Black/Gp,5013,Black/Kh,2,1,2,no,review
4508,Black/Gp,2799,Blacktop,2,1,6,no,review
4132,BLFOG,1076,Bkfo,2,1,2,no,review
2018,Carhtr,515,Caht,2,1,2,no,review
2018,Carhtr,550,Chhtr,2,1,2,no,review
3497,Ch/Or,550,Chhtr,2,1,2,no,review
3,Crb,2023,Chbk,2,1,7,no,review
3,Crb,2607,Db,2,1,4,no,review
3,Crb,2371,Hlb,2,1,2,no,review
3,Crb,3455,Trh,2,1,3,no,review
2321,Dkfu,1076,Bkfo,2,1,2,no,review
2059,Dpsm,2057,Dpbk,2,1,2,no,review
2059,Dpsm,3240,Dpna,2,1,4,no,review
2059,Dpsm,1825,Dpro,2,1,4,no,review
3023,Dsg,498,Ash,2,1,62,yes,review
3023,Dsg,2607,Db,2,1,4,no,review
3023,Dsg,2042,Dgr,2,1,8,no,review
3023,Dsg,2059,Dpsm,2,1,1,no,review
3023,Dsg,2646,Mag,2,1,2,no,review
3023,Dsg,2885,SGH,2,1,3,no,review
3028,Ec,2607,Db,2,1,4,no,review
3028,Ec,3403,Gc,1,1,9,no,review
3028,Ec,3404,Gch,2,1,5,no,review
3028,Ec,1034,In,2,1,3,no,review
3028,Ec,1290,Kh,2,1,4,no,review
3028,Ec,3772,Oy,2,1,8,no,review
3028,Ec,509,Red,2,1,598,yes,review
3028,Ec,3124,Vh,2,1,2,no,review
6164,Forrest Green/Si,6395,Forrest Green/Lg,2,1,3,no,review
2339,Ga,2607,Db,2,1,4,no,review
2339,Ga,2042,Dgr,2,1,8,no,review
2339,Ga,3028,Ec,2,1,1,no,review
2339,Ga,4188,GARN,2,1,1,no,review
2339,Ga,3403,Gc,1,1,9,no,review
2339,Ga,3404,Gch,2,1,5,no,review
2339,Ga,505,Gph,2,1,10,no,review
2339,Ga,1034,In,2,1,3,no,review
2339,Ga,1290,Kh,2,1,4,no,review
2339,Ga,2843,Lgt,2,1,2,no,review
2339,Ga,2646,Mag,2,1,2,no,review
2339,Ga,3755,Mna,2,1,6,no,review
2339,Ga,3772,Oy,2,1,8,no,review
2339,Ga,2885,SGH,2,1,3,no,review
2339,Ga,3335,Sap,2,1,6,no,review
2339,Ga,1046,Tan,2,1,10,yes,review
2339,Ga,3124,Vh,2,1,2,no,review
4188,GARN,3248,Gcon,2,1,4,no,review
4188,GARN,2145,Mgrn,2,1,10,no,review
4188,GARN,5991,Ngrn,2,1,2,no,review
4188,GARN,1046,Tan,2,1,10,yes,review
639,Grey/White,5950,Green/White,2,1,2,no,review
2635,Gsygr,4144,BSBGR,2,1,5,no,review
2093,Hbk,2023,Chbk,1,1,7,no,review
2093,Hbk,2607,Db,2,1,4,no,review
2093,Hbk,2057,Dpbk,2,1,2,no,review
2093,Hbk,2091,Habl,2,1,3,no,review
2093,Hbk,2096,Hdt,2,1,3,no,review
2093,Hbk,2371,Hlb,2,1,2,no,review
2093,Hbk,2421,Mbk,1,1,15,no,review
4221,HG/NAVY,2104,Hg/Na,2,1,2,no,review
4221,HG/NAVY,6216,Ox/Navy,2,1,3,no,review
4221,HG/NAVY,4902,Si/Navy,2,1,2,no,review
1107,Htmv,1279,Htgr,2,1,5,no,review
1107,Htmv,1031,Htna,2,1,2,no,review
2118,Htrmve,1107,Htmv,2,1,1,no,review
2399,Htrstl,2397,Htrpsbl,2,1,1,no,review
1146,Ig,2607,Db,2,1,4,no,review
1146,Ig,2042,Dgr,2,1,8,no,review
1146,Ig,3023,Dsg,2,1,1,no,review
1146,Ig,3028,Ec,2,1,1,no,review
1146,Ig,2339,Ga,2,1,1,no,review
1146,Ig,3403,Gc,2,1,9,no,review
1146,Ig,1034,In,1,1,3,no,review
1146,Ig,1290,Kh,2,1,4,no,review
1146,Ig,2843,Lgt,2,1,2,no,review
1146,Ig,2646,Mag,2,1,2,no,review
1146,Ig,3772,Oy,2,1,8,no,review
1146,Ig,2885,SGH,2,1,3,no,review
1146,Ig,3124,Vh,2,1,2,no,review
489,Ke,2788,Bkhe,2,1,1,no,review
489,Ke,2607,Db,2,1,4,no,review
489,Ke,3028,Ec,2,1,1,no,review
489,Ke,2339,Ga,2,1,1,no,review
489,Ke,3403,Gc,2,1,9,no,review
489,Ke,1146,Ig,2,1,1,no,review
489,Ke,1034,In,2,1,3,no,review
489,Ke,1290,Kh,1,1,4,no,review
489,Ke,3772,Oy,2,1,8,no,review
489,Ke,509,Red,2,1,598,yes,review
489,Ke,3124,Vh,2,1,2,no,review
5974,Ltb,2983,Atbl,2,1,3,no,review
5974,Ltb,3,Crb,2,1,1,no,review
5974,Ltb,2607,Db,2,1,4,no,review
5974,Ltb,2371,Hlb,2,1,2,no,review
5974,Ltb,2843,Lgt,2,1,2,no,review
3286,Mist,2651,Mgnt,2,1,6,no,review
3286,Mist,1109,Mint,1,1,2,no,review
2155,Mr,3,Crb,2,1,1,no,review
2155,Mr,2607,Db,2,1,4,no,review
2155,Mr,2042,Dgr,2,1,8,no,review
2155,Mr,3028,Ec,2,1,1,no,review
2155,Mr,2339,Ga,2,1,1,no,review
2155,Mr,3403,Gc,2,1,9,no,review
2155,Mr,1146,Ig,2,1,1,no,review
2155,Mr,1034,In,2,1,3,no,review
2155,Mr,489,Ke,2,1,1,no,review
2155,Mr,1290,Kh,2,1,4,no,review
2155,Mr,2646,Mag,2,1,2,no,review
2155,Mr,2421,Mbk,2,1,15,no,review
2155,Mr,2145,Mgrn,2,1,10,no,review
2155,Mr,3755,Mna,2,1,6,no,review
2155,Mr,3772,Oy,2,1,8,no,review
2155,Mr,3455,Trh,2,1,3,no,review
2155,Mr,3124,Vh,2,1,2,no,review
2431,Na/St,4313,RO/ST,2,1,2,no,review
2169,Natb,2983,Atbl,2,1,3,no,review
2169,Natb,5974,Ltb,2,1,1,no,review
2169,Natb,2656,Nahe,2,1,2,no,review
2169,Natb,722,Navy,2,1,644,yes,review
2169,Natb,531,Navy,2,1,103,yes,review
4879,Navy/Si,4874,Navy/Ca,2,1,7,no,review
