Internal ID,Name,Abbreviation
1024,Dark Grey Heather,Dkgrht
7537,Dark Grey/Royal,Dark Grey/Royal
7564,Dark Heather,Dark Heather
7554,Dark Heather Grey,DarkHeatherGrey
7480,Dark Heather Grey/Black,DKHEGR/BK
7444,Dark Navy,Dark Navy
2607,Db,Db
3503,Deep Black,Deep Black
739,Deep Navy,Deep Navy
1824,Deep Red,Deep Red
4172,DEEP ROYAL,DEEP ROYAL
4173,DEEP SMOKE,DEEP SMOKE
3026,Deep Smoke Heather,DSH
1210,Denim,Denim
7485,Desert Pink,Desert Pink
828,Dgh,Dgh
2042,Dgr,Dgr
7559,Diesel Grey,Diesel Grey
2611,Direct Blue,Direct Blue
7437,Distant Gray,Distant Gray
2321,Dkfu,Dkfu
737,Dkhtrgy,Dkhtrgy
3506,Do/Wh,Do/Wh
4177,DOVE GREY,DOVE GREY
2057,Dpbk,Dpbk
3240,Dpna,Dpna
1825,Dpro,Dpro
2059,Dpsm,Dpsm
2325,Dpstbl,Dpstbl
3023,Dsg,Dsg
2067,Duck Brown,Duck Brown
7471,Dusty Rose,Dusty Rose
4179,DUSTY ROSE/WH,DUSTY ROSE/WH
3028,Ec,Ec
2823,Electric Blue,Elbl
7535,Electric Green,Electric Green
7469,Electric Orange,Electric Orange
7458,Elements Agua Blackfin,Elem Agua Black
4182,ENRD,ENRD
7620,Faded Blue,Faded Blue
740,Flash Green,Flash Green
4183,Flat Black,Flat Black
7592,Flat Maroon,Flat Maroon
7439,Flat Navy,Flat Navy
4185,Flat Scarlet,Flat Scarlet
3244,Flgr,Flgr
7605,Focus Blue Melange,Focus Bl Melang
1017,Forest Green,Forest Green
7617,Forest Green/White,Forest Green/Wh
672,Forrest Green,Forrest Green
6395,Forrest Green/Lg,ForGrn/Lg
6164,Forrest Green/Si,ForGrn/Si
4521,Forrest Green/White,ForGrn/White
7510,French Blue,French Blue
3246,Frpch,Frpch
983,Fuchsia,Fuchsia
2339,Ga,Ga
3249,Game Royal,Game Royal
7550,Gardenia,Gardenia
4188,GARN,GARN
2340,Garo,Garo
