upc,image_url
752044000859,http://champrosports.com/images/product/large/SJ40_1_blackwhite.jpg
752044000866,http://champrosports.com/images/product/large/SJ40_1_blackwhite.jpg
752044000873,http://champrosports.com/images/product/large/SJ40_1_blackwhite.jpg
752044000880,http://champrosports.com/images/product/large/SJ40_1_blackwhite.jpg
752044000897,http://champrosports.com/images/product/large/SJ40_1_blackwhite.jpg
752044000903,http://champrosports.com/images/product/large/SJ40_1_charcoalwhite.jpg
752044000910,http://champrosports.com/images/product/large/SJ40_1_charcoalwhite.jpg
752044000927,http://champrosports.com/images/product/large/SJ40_1_charcoalwhite.jpg
752044000934,http://champrosports.com/images/product/large/SJ40_1_charcoalwhite.jpg
752044000941,http://champrosports.com/images/product/large/SJ40_1_charcoalwhite.jpg
752044000958,http://champrosports.com/images/product/large/SJ40_1_forestgreenwhite.jpg
752044000965,http://champrosports.com/images/product/large/SJ40_1_forestgreenwhite.jpg
752044000972,http://champrosports.com/images/product/large/SJ40_1_forestgreenwhite.jpg
752044000989,http://champrosports.com/images/product/large/SJ40_1_forestgreenwhite.jpg
752044000996,http://champrosports.com/images/product/large/SJ40_1_forestgreenwhite.jpg
752044001009,http://champrosports.com/images/product/large/SJ40_1_maroonwhite.jpg
752044001016,http://champrosports.com/images/product/large/SJ40_1_maroonwhite.jpg
752044001023,http://champrosports.com/images/product/large/SJ40_1_maroonwhite.jpg
752044001030,http://champrosports.com/images/product/large/SJ40_1_maroonwhite.jpg
752044001047,http://champrosports.com/images/product/large/SJ40_1_maroonwhite.jpg
752044001054,http://champrosports.com/images/product/large/SJ40_1_navywhite.jpg
752044001061,http://champrosports.com/images/product/large/SJ40_1_navywhite.jpg
752044001078,http://champrosports.com/images/product/large/SJ40_1_navywhite.jpg
752044001085,http://champrosports.com/images/product/large/SJ40_1_navywhite.jpg
752044001092,http://champrosports.com/images/product/large/SJ40_1_navywhite.jpg
752044001108,http://champrosports.com/images/product/large/SJ40_1_orangewhite.jpg
752044001115,http://champrosports.com/images/product/large/SJ40_1_orangewhite.jpg
752044001122,http://champrosports.com/images/product/large/SJ40_1_orangewhite.jpg
752044001139,http://champrosports.com/images/product/large/SJ40_1_orangewhite.jpg
752044001146,http://champrosports.com/images/product/large/SJ40_1_orangewhite.jpg
752044001153,http://champrosports.com/images/product/large/SJ40_1_purplewhite.jpg
752044001160,http://champrosports.com/images/product/large/SJ40_1_purplewhite.jpg
752044001177,http://champrosports.com/images/product/large/SJ40_1_purplewhite.jpg
752044001184,http://champrosports.com/images/product/large/SJ40_1_purplewhite.jpg
752044001191,http://champrosports.com/images/product/large/SJ40_1_purplewhite.jpg
752044001207,http://champrosports.com/images/product/large/SJ40_1_royalwhite.jpg
752044001214,http://champrosports.com/images/product/large/SJ40_1_royalwhite.jpg
752044001221,http://champrosports.com/images/product/large/SJ40_1_royalwhite.jpg
752044001238,http://champrosports.com/images/product/large/SJ40_1_royalwhite.jpg
