style,item_id,itemid,current_color,correct_color,correct_value_exists
695HBM,5332,695HBM-Columbia Blue-2X-Large,Columbia Blue,Collegiate Blue,no
695HBM,5333,695HBM-Columbia Blue-3X-Large,Columbia Blue,Collegiate Blue,no
695HBM,5330,695HBM-Columbia Blue-Large,Columbia Blue,Collegiate Blue,no
695HBM,5329,695HBM-Columbia Blue-Medium,Columbia Blue,Collegiate Blue,no
695HBM,5328,695HBM-Columbia Blue-Small,Columbia Blue,Collegiate Blue,no
695HBM,5331,695HBM-Columbia Blue-X-Large,Columbia Blue,Collegiate Blue,no
695HBM,5365,695HBM-Navy-2X-Large,Navy,J.Navy,yes
695HBM,5366,695HBM-Navy-3X-Large,Navy,J.Navy,yes
695HBM,5363,695HBM-Navy-Large,Navy,J.Navy,yes
695HBM,5362,695HBM-Navy-Medium,Navy,J.Navy,yes
695HBM,5361,695HBM-Navy-Small,Navy,J.Navy,yes
695HBM,5364,695HBM-Navy-X-Large,Navy,J.Navy,yes
695HBM,5386,695HBM-Red-2X-Large,Red,True Red,yes
695HBM,5387,695HBM-Red-3X-Large,Red,True Red,yes
695HBM,5384,695HBM-Red-Large,Red,True Red,yes
695HBM,5383,695HBM-Red-Medium,Red,True Red,yes
695HBM,5382,695HBM-Red-Small,Red,True Red,yes
695HBM,5385,695HBM-Red-X-Large,Red,True Red,yes
